"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"6/16/2021","C208","5Y-ESU","MAF 1","RUBKONA","AYOD",1087,220,0.8,95.656,176
"6/16/2021","C208","5Y-ESU","MAF 1","AYOD","JUBA",1227,363,1.4,178.1604,308
"6/17/2021","C208","5Y-ESU","MAF 1","JUBA","YAMBIO",864,352,1.4,121.6512,308
"6/17/2021","C208","5Y-ESU","MAF 1","YAMBIO","MARIDI",955,119,0.5,45.458,110
"6/17/2021","C208","5Y-ESU","MAF 1","MARIDI","MUNDRI",1142,113,0.5,51.6184,110
"6/17/2021","C208","5Y-ESU","MAF 1","MUNDRI","JUBA",1134,148,0.6,67.1328,132
"6/18/2021","C208","5Y-ESU","MAF 1","JUBA","KAPOETA",1026,220,0.9,90.288,198
"6/18/2021","C208","5Y-ESU","MAF 1","KAPOETA","JUBA",1170,220,0.9,102.96,198
"6/18/2021","C208","5Y-ESU","MAF 1","JUBA","CHUKUDUM",1026,222,1,91.1088,220
"6/18/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","TORIT",845,104,0.5,35.152,110
"6/18/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1243,120,0.5,59.664,110
"6/21/2021","C208","5Y-ESU","MAF 1","JUBA","KAPOETA",1000,220,0.9,88,198
"6/21/2021","C208","5Y-ESU","MAF 1","KAPOETA","JUBA",1166,220,0.9,102.608,198
